Date/Time, GC-hostname:port, CPU-hostname:port, Used JVM Mem-hostname:port, Total JVM Mem-hostname:port, Init JVM Mem-hostname:port, Committed JVM Mem-hostname:port, Loaded Class Count-hostname:port, JVM Process CPU Time-hostname:port, JVM Process Cpu Load-hostname:port, System CPU Load-hostname:port, Free Physical Memory Size-hostname:port, Total Physical Memory Size-hostname:port, System Load Average-hostname:port, Total Swap Space Size-hostname:port, Committed Virtual Memory Size-hostname:port, Current Queue Size-hostname:port, Max Queue Size-hostname:port, Uptime-hostname:port,
2018-03-12 23:50:43, 0.0, 0, 467615928, 534904832, 134217728, 534904832, 6131, 6720410000000, 0.00, 0.00, 174567424, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 289945012,
2018-03-12 23:51:43, 0.0, 0, 468777184, 534904832, 134217728, 534904832, 6131, 6720530000000, 0.00, 0.00, 175005696, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290005012,
2018-03-12 23:52:43, 0.0, 0, 469883408, 534904832, 134217728, 534904832, 6131, 6720710000000, 0.00, 0.00, 174981120, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290065012,
2018-03-12 23:53:43, 0.0, 0, 471104832, 534904832, 134217728, 534904832, 6131, 6720880000000, 0.00, 0.00, 173338624, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290125012,
2018-03-12 23:54:43, 0.0, 0, 472229056, 534904832, 134217728, 534904832, 6131, 6721030000000, 0.00, 0.00, 173441024, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290185013,
2018-03-12 23:55:43, 0.0, 0, 473401912, 534904832, 134217728, 534904832, 6131, 6721220000000, 0.00, 0.00, 172814336, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290245013,
2018-03-12 23:56:43, 0.0, 0, 474532352, 534904832, 134217728, 534904832, 6131, 6721340000000, 0.00, 0.00, 173121536, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290305013,
2018-03-12 23:57:43, 0.0, 0, 475689632, 534904832, 134217728, 534904832, 6131, 6721460000000, 0.00, 0.00, 173223936, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290365012,
2018-03-12 23:58:43, 0.0, 0, 476879376, 534904832, 134217728, 534904832, 6131, 6721620000000, 0.00, 0.00, 173481984, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290425012,
2018-03-12 23:59:43, 0.0, 0, 478030592, 534904832, 134217728, 534904832, 6131, 6721810000000, 0.00, 0.00, 173379584, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290485012,
