Date/Time, GC-hostname:port, CPU-hostname:port, Used JVM Mem-hostname:port, Total JVM Mem-hostname:port, Init JVM Mem-hostname:port, Committed JVM Mem-hostname:port, Loaded Class Count-hostname:port, JVM Process CPU Time-hostname:port, JVM Process Cpu Load-hostname:port, System CPU Load-hostname:port, Free Physical Memory Size-hostname:port, Total Physical Memory Size-hostname:port, System Load Average-hostname:port, Total Swap Space Size-hostname:port, Committed Virtual Memory Size-hostname:port, Current Queue Size-hostname:port, Max Queue Size-hostname:port, Uptime-hostname:port,
2018-03-16 23:51:17, 0.0, 0, 346672616, 502661120, 134217728, 502661120, 6063, 3805680000000, 0.00, 0.11, 687898624, 16725889024, 0.99, 8724148224, 3078979584, 0, 1, 97280200,
2018-03-16 23:52:17, 0.0, 0, 349308392, 502661120, 134217728, 502661120, 6063, 3805950000000, 0.00, 0.11, 663564288, 16725889024, 0.99, 8724148224, 3078979584, 0, 1, 97340167,
2018-03-16 23:53:17, 0.0, 0, 351576576, 502661120, 134217728, 502661120, 6063, 3806190000000, 0.00, 0.11, 648556544, 16725889024, 0.99, 8724148224, 3078979584, 0, 1, 97400168,
2018-03-16 23:54:17, 0.0, 0, 354184352, 502661120, 134217728, 502661120, 6063, 3806460000000, 0.00, 0.11, 636915712, 16725889024, 0.99, 8724148224, 3078979584, 0, 1, 97460167,
2018-03-16 23:55:17, 0.0, 0, 356917456, 502661120, 134217728, 502661120, 6063, 3806680000000, 0.00, 0.11, 625741824, 16725889024, 0.99, 8724148224, 3078979584, 0, 1, 97520166,
2018-03-16 23:56:17, 0.0, 0, 359184696, 502661120, 134217728, 502661120, 6063, 3806880000000, 0.00, 0.11, 614060032, 16725889024, 0.99, 8724148224, 3078979584, 0, 1, 97580167,
2018-03-16 23:57:17, 0.0, 0, 364538008, 502661120, 134217728, 502661120, 6063, 3807110000000, 0.00, 0.06, 685117440, 16725889024, 0.60, 8724148224, 3078979584, 0, 1, 97640172,
2018-03-16 23:58:17, 0.0, 0, 365739152, 502661120, 134217728, 502661120, 6063, 3807240000000, 0.00, 0.00, 684863488, 16725889024, 0.22, 8724148224, 3078979584, 0, 1, 97700166,
2018-03-16 23:59:17, 0.0, 0, 366938224, 502661120, 134217728, 502661120, 6063, 3807380000000, 0.00, 0.00, 684498944, 16725889024, 0.08, 8724148224, 3078979584, 0, 1, 97760165,
