Date/Time, GC-hostname:port, CPU-hostname:port, Used JVM Mem-hostname:port, Total JVM Mem-hostname:port, Init JVM Mem-hostname:port, Committed JVM Mem-hostname:port, Loaded Class Count-hostname:port, JVM Process CPU Time-hostname:port, JVM Process Cpu Load-hostname:port, System CPU Load-hostname:port, Free Physical Memory Size-hostname:port, Total Physical Memory Size-hostname:port, System Load Average-hostname:port, Total Swap Space Size-hostname:port, Committed Virtual Memory Size-hostname:port, Current Queue Size-hostname:port, Max Queue Size-hostname:port, Uptime-hostname:port,
2018-03-17 23:36:17, 0.0, 0, 313123224, 534052864, 134217728, 534052864, 6045, 4555020000000, 0.00, 0.00, 181800960, 16725889024, 0.01, 8724148224, 3079143424, 0, 1, 182780168,
2018-03-17 23:37:17, 0.0, 0, 314291880, 534052864, 134217728, 534052864, 6045, 4555190000000, 0.00, 0.00, 181911552, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 182840187,
2018-03-17 23:38:17, 0.0, 0, 314987256, 534052864, 134217728, 534052864, 6045, 4555340000000, 0.00, 0.00, 181936128, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 182900165,
2018-03-17 23:39:17, 0.0, 0, 315973248, 534052864, 134217728, 534052864, 6045, 4555490000000, 0.00, 0.00, 181809152, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 182960164,
2018-03-17 23:40:17, 0.0, 0, 317035096, 534052864, 134217728, 534052864, 6045, 4555680000000, 0.00, 0.00, 181047296, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183020165,
2018-03-17 23:41:17, 0.0, 0, 318045880, 534052864, 134217728, 534052864, 6045, 4555850000000, 0.00, 0.00, 181047296, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183080165,
2018-03-17 23:42:17, 0.0, 0, 319070064, 534052864, 134217728, 534052864, 6045, 4556010000000, 0.00, 0.00, 180793344, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183140165,
2018-03-17 23:43:17, 0.0, 0, 320077864, 534052864, 134217728, 534052864, 6045, 4556170000000, 0.00, 0.00, 180920320, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183200165,
2018-03-17 23:44:17, 0.0, 0, 320753464, 534052864, 134217728, 534052864, 6045, 4556330000000, 0.00, 0.00, 180793344, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183260164,
2018-03-17 23:45:17, 0.0, 0, 322140056, 534052864, 134217728, 534052864, 6045, 4556500000000, 0.00, 0.00, 180793344, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183320165,
2018-03-17 23:46:17, 0.0, 0, 322836784, 534052864, 134217728, 534052864, 6045, 4556670000000, 0.00, 0.00, 180666368, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183380165,
2018-03-17 23:47:17, 0.0, 0, 323881104, 534052864, 134217728, 534052864, 6045, 4556820000000, 0.00, 0.00, 180412416, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183440164,
2018-03-17 23:48:17, 0.0, 0, 324884840, 534052864, 134217728, 534052864, 6045, 4556960000000, 0.00, 0.00, 180158464, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183500164,
2018-03-17 23:49:17, 0.0, 0, 325910056, 534052864, 134217728, 534052864, 6045, 4557140000000, 0.00, 0.00, 180031488, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183560165,
2018-03-17 23:50:17, 0.0, 0, 327117040, 534052864, 134217728, 534052864, 6045, 4557300000000, 0.00, 0.00, 179904512, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183620164,
2018-03-17 23:51:17, 0.0, 0, 327981944, 534052864, 134217728, 534052864, 6045, 4557460000000, 0.00, 0.00, 175824896, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183680164,
2018-03-17 23:52:17, 0.0, 0, 328835200, 534052864, 134217728, 534052864, 6045, 4557640000000, 0.00, 0.00, 175824896, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183740164,
2018-03-17 23:53:17, 0.0, 0, 329712504, 534052864, 134217728, 534052864, 6045, 4557840000000, 0.00, 0.00, 174936064, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183800165,
2018-03-17 23:54:17, 0.0, 0, 330753472, 534052864, 134217728, 534052864, 6045, 4558020000000, 0.00, 0.00, 175063040, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183860166,
2018-03-17 23:55:17, 0.0, 0, 331800648, 534052864, 134217728, 534052864, 6045, 4558210000000, 0.00, 0.00, 174936064, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183920166,
2018-03-17 23:56:17, 0.0, 0, 332830224, 534052864, 134217728, 534052864, 6045, 4558390000000, 0.00, 0.00, 174682112, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 183980171,
2018-03-17 23:57:17, 0.0, 0, 333845760, 534052864, 134217728, 534052864, 6045, 4558590000000, 0.00, 0.00, 174809088, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 184040208,
2018-03-17 23:58:17, 1.4, 1, 274581496, 534249472, 134217728, 534249472, 6034, 4561800000000, 0.01, 0.01, 174809088, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 184100179,
2018-03-17 23:59:17, 0.0, 0, 275969288, 534249472, 134217728, 534249472, 6041, 4561960000000, 0.00, 0.00, 174825472, 16725889024, 0.08, 8724148224, 3079143424, 0, 1, 184160166,
