Date/Time, GC-hostname:port, CPU-hostname:port, Used JVM Mem-hostname:port, Total JVM Mem-hostname:port, Init JVM Mem-hostname:port, Committed JVM Mem-hostname:port, Loaded Class Count-hostname:port, JVM Process CPU Time-hostname:port, JVM Process Cpu Load-hostname:port, System CPU Load-hostname:port, Free Physical Memory Size-hostname:port, Total Physical Memory Size-hostname:port, System Load Average-hostname:port, Total Swap Space Size-hostname:port, Committed Virtual Memory Size-hostname:port, Current Queue Size-hostname:port, Max Queue Size-hostname:port, Uptime-hostname:port,
2018-03-12 14:37:43, 0.0, 0, 510891784, 533856256, 134217728, 533856256, 6120, 3900730000000, 0.00, 0.04, 3818827776, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 256765415,
2018-03-12 14:38:43, 0.0, 0, 512225584, 533856256, 134217728, 533856256, 6126, 3900870000000, 0.00, 0.00, 3814531072, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 256825047,
2018-03-12 14:39:43, 0.0, 0, 513320904, 533856256, 134217728, 533856256, 6126, 3901010000000, 0.00, 0.00, 3812331520, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 256885044,
2018-03-12 14:40:43, 0.0, 0, 514420432, 533856256, 134217728, 533856256, 6133, 3901180000000, 0.00, 0.00, 3810168832, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 256945042,
2018-03-12 14:41:43, 0.0, 0, 515506192, 533856256, 134217728, 533856256, 6133, 3901350000000, 0.00, 0.00, 3809251328, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 257005036,
2018-03-12 14:42:43, 0.0, 0, 516605672, 533856256, 134217728, 533856256, 6133, 3901470000000, 0.00, 0.00, 3808043008, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 257065032,
2018-03-12 14:43:43, 0.0, 0, 517728280, 533856256, 134217728, 533856256, 6133, 3901600000000, 0.00, 0.00, 3806961664, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 257125033,
2018-03-12 14:44:43, 0.0, 0, 518856072, 533856256, 134217728, 533856256, 6135, 3901740000000, 0.00, 0.00, 3798253568, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 257185033,
2018-03-12 14:45:43, 0.0, 0, 519949208, 533856256, 134217728, 533856256, 6137, 3901890000000, 0.00, 0.00, 3784736768, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 257245032,
2018-03-12 14:46:43, 0.0, 0, 520844784, 533856256, 134217728, 533856256, 6137, 3902070000000, 0.00, 0.00, 3785465856, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 257305035,
