Date/Time, GC-hostname:port, CPU-hostname:port, Used JVM Mem-hostname:port, Total JVM Mem-hostname:port, Init JVM Mem-hostname:port, Committed JVM Mem-hostname:port, Loaded Class Count-hostname:port, JVM Process CPU Time-hostname:port, JVM Process Cpu Load-hostname:port, System CPU Load-hostname:port, Free Physical Memory Size-hostname:port, Total Physical Memory Size-hostname:port, System Load Average-hostname:port, Total Swap Space Size-hostname:port, Committed Virtual Memory Size-hostname:port, Current Thread Count-hostname:port, Current Threads Busy-hostname:port, Max Threads-hostname:port, Active Sessions-hostname:port, Uptime-hostname:port,
2018-03-22 00:00:40, 0.0, 1, 179913296, 954466304, 261342016, 200933376, 4396, 5809370000000, 0.01, 0.27, 199888896, 16725889024, 0.43, 8724148224, 3576426496, 10, 3, 200, 108, 123512757,
2018-03-22 00:01:40, 0.0, 1, 139535792, 954466304, 261342016, 200671232, 4396, 5812270000000, 0.01, 0.29, 236941312, 16725889024, 0.29, 8724148224, 3576426496, 10, 4, 200, 108, 123572774,
2018-03-22 00:02:40, 0.1, 1, 169600248, 954466304, 261342016, 201129984, 4396, 5814700000000, 0.01, 0.23, 214732800, 16725889024, 0.37, 8724148224, 3576426496, 10, 3, 200, 108, 123632756,
2018-03-22 00:03:40, 0.0, 1, 179884184, 954466304, 261342016, 201457664, 4396, 5817190000000, 0.01, 0.25, 235597824, 16725889024, 0.55, 8724148224, 3576426496, 10, 3, 200, 108, 123692758,
2018-03-22 00:04:40, 0.0, 1, 166547904, 954466304, 261342016, 201588736, 4396, 5819790000000, 0.01, 0.26, 252809216, 16725889024, 0.54, 8724148224, 3576426496, 10, 3, 200, 108, 123752756,
2018-03-22 00:05:40, 0.0, 0, 146815944, 954466304, 261342016, 201588736, 4396, 5822130000000, 0.01, 0.24, 241295360, 16725889024, 0.24, 8724148224, 3576426496, 10, 3, 200, 108, 123812756,
2018-03-22 00:06:40, 0.0, 1, 177224808, 954466304, 261342016, 202178560, 4396, 5824740000000, 0.01, 0.28, 224169984, 16725889024, 0.29, 8724148224, 3576426496, 10, 2, 200, 108, 123872756,
2018-03-22 00:07:40, 0.0, 1, 160094224, 954466304, 261342016, 202309632, 4396, 5827550000000, 0.01, 0.31, 202244096, 16725889024, 0.89, 8724148224, 3576426496, 10, 3, 200, 108, 123932758,
2018-03-22 00:08:40, 0.0, 1, 166869120, 954466304, 261342016, 202178560, 4396, 5830530000000, 0.01, 0.35, 229658624, 16725889024, 0.66, 8724148224, 3576426496, 10, 2, 200, 108, 123992755,
2018-03-22 00:09:40, 0.0, 1, 181030344, 954466304, 261342016, 202309632, 4396, 5833030000000, 0.01, 0.29, 245108736, 16725889024, 0.73, 8724148224, 3576426496, 10, 2, 200, 108, 124052755,
