Date/Time, GC-hostname:port, CPU-hostname:port, Used JVM Mem-hostname:port, Total JVM Mem-hostname:port, Init JVM Mem-hostname:port, Committed JVM Mem-hostname:port, Loaded Class Count-hostname:port, JVM Process CPU Time-hostname:port, JVM Process Cpu Load-hostname:port, System CPU Load-hostname:port, Free Physical Memory Size-hostname:port, Total Physical Memory Size-hostname:port, System Load Average-hostname:port, Total Swap Space Size-hostname:port, Committed Virtual Memory Size-hostname:port, Current Thread Count-hostname:port, Current Threads Busy-hostname:port, Max Threads-hostname:port, Active Sessions-hostname:port, Uptime-hostname:port,
2018-03-13 00:00:02, 0.1, 1, 91528864, 954466304, 261342016, 192151552, 5014, 11067170000000, 0.02, 0.36, 386457600, 16725889024, 0.51, 8724148224, 3579342848, 13, 4, 200, 34, 290472195,
2018-03-13 00:01:02, 0.1, 1, 97601184, 954466304, 261342016, 196149248, 5014, 11071590000000, 0.02, 0.38, 395591680, 16725889024, 0.62, 8724148224, 3579342848, 13, 5, 200, 34, 290532199,
2018-03-13 00:02:02, 0.1, 1, 97182912, 954466304, 261342016, 192872448, 5014, 11075500000000, 0.02, 0.34, 378212352, 16725889024, 0.49, 8724148224, 3579342848, 13, 5, 200, 34, 290592195,
2018-03-13 00:03:02, 0.1, 1, 110643072, 954466304, 261342016, 192937984, 5014, 11079380000000, 0.02, 0.33, 418304000, 16725889024, 0.40, 8724148224, 3579342848, 13, 5, 200, 34, 290652206,
2018-03-13 00:04:02, 0.2, 1, 112321376, 954466304, 261342016, 192217088, 5014, 11083530000000, 0.02, 0.35, 415248384, 16725889024, 0.38, 8724148224, 3579342848, 13, 5, 200, 34, 290712196,
2018-03-13 00:05:02, 0.2, 1, 119044104, 954466304, 261342016, 190054400, 5014, 11087300000000, 0.02, 0.32, 401932288, 16725889024, 0.32, 8724148224, 3579342848, 13, 5, 200, 34, 290772199,
2018-03-13 00:06:02, 0.2, 1, 130499368, 954466304, 261342016, 190185472, 5014, 11091510000000, 0.02, 0.35, 376889344, 16725889024, 0.67, 8724148224, 3579342848, 12, 5, 200, 34, 290832201,
2018-03-13 00:07:02, 0.2, 1, 139928320, 954466304, 261342016, 193527808, 5014, 11095440000000, 0.02, 0.36, 367276032, 16725889024, 0.25, 8724148224, 3579342848, 12, 5, 200, 34, 290892220,
2018-03-13 00:08:02, 0.2, 1, 145780648, 954466304, 261342016, 193265664, 5014, 11099470000000, 0.02, 0.36, 356261888, 16725889024, 0.27, 8724148224, 3579342848, 12, 5, 200, 34, 290952213,
2018-03-13 00:09:02, 0.2, 1, 145521680, 954466304, 261342016, 191561728, 5014, 11103380000000, 0.02, 0.32, 344281088, 16725889024, 0.21, 8724148224, 3579342848, 12, 5, 200, 34, 291012200,
2018-03-13 00:10:02, 0.1, 1, 157180728, 954466304, 261342016, 196411392, 5014, 11107450000000, 0.02, 0.35, 379547648, 16725889024, 0.27, 8724148224, 3579342848, 12, 5, 200, 34, 291072208,
2018-03-13 00:11:02, 0.1, 1, 151518832, 954466304, 261342016, 193724416, 5014, 11111390000000, 0.02, 0.33, 356413440, 16725889024, 0.30, 8724148224, 3579342848, 12, 4, 200, 34, 291132203,
2018-03-13 00:12:02, 0.1, 1, 163378128, 954466304, 261342016, 193462272, 5014, 11115530000000, 0.02, 0.35, 396689408, 16725889024, 0.37, 8724148224, 3579342848, 12, 4, 200, 34, 291192200,
2018-03-13 00:13:02, 0.1, 1, 162499872, 954466304, 261342016, 192675840, 5014, 11119410000000, 0.02, 0.33, 362864640, 16725889024, 0.24, 8724148224, 3579342848, 12, 4, 200, 34, 291252200,
2018-03-13 00:14:02, 0.2, 1, 167167344, 954466304, 261342016, 191168512, 5014, 11123540000000, 0.02, 0.35, 347533312, 16725889024, 0.33, 8724148224, 3579342848, 12, 4, 200, 34, 291312199,
2018-03-13 00:15:02, 0.2, 1, 183148176, 954466304, 261342016, 198180864, 5014, 11127470000000, 0.02, 0.32, 351748096, 16725889024, 0.53, 8724148224, 3579342848, 12, 4, 200, 34, 291372211,
2018-03-13 00:16:02, 0.4, 2, 121141400, 954466304, 261342016, 261095424, 5020, 11134320000000, 0.03, 0.34, 279531520, 16725889024, 0.33, 8724148224, 3579342848, 12, 4, 200, 33, 291432202,
2018-03-13 00:17:02, 0.0, 1, 108063816, 954466304, 261342016, 250019840, 5020, 11137700000000, 0.01, 0.29, 294100992, 16725889024, 0.36, 8724148224, 3579342848, 12, 4, 200, 33, 291492209,
2018-03-13 00:18:02, 0.0, 1, 108567624, 954466304, 261342016, 245760000, 5020, 11141290000000, 0.02, 0.36, 327360512, 16725889024, 0.37, 8724148224, 3579342848, 12, 4, 200, 33, 291552209,
2018-03-13 00:19:02, 0.0, 1, 139618000, 954466304, 261342016, 240582656, 5020, 11144730000000, 0.01, 0.30, 314859520, 16725889024, 0.30, 8724148224, 3579342848, 12, 4, 200, 33, 291612204,
2018-03-13 00:20:02, 0.0, 1, 130803752, 954466304, 261342016, 235798528, 5020, 11148200000000, 0.01, 0.31, 330289152, 16725889024, 0.26, 8724148224, 3579342848, 12, 4, 200, 33, 291672210,
2018-03-13 00:21:02, 0.0, 1, 129321264, 954466304, 261342016, 230424576, 5020, 11151680000000, 0.01, 0.31, 337842176, 16725889024, 0.23, 8724148224, 3579342848, 12, 4, 200, 33, 291732196,
2018-03-13 00:22:02, 0.0, 1, 110080192, 954466304, 261342016, 227540992, 5020, 11155170000000, 0.01, 0.31, 364666880, 16725889024, 0.12, 8724148224, 3579342848, 12, 4, 200, 33, 291792205,
2018-03-13 00:23:02, 0.0, 1, 112943768, 954466304, 261342016, 224395264, 5020, 11158730000000, 0.02, 0.32, 340447232, 16725889024, 0.10, 8724148224, 3579342848, 12, 4, 200, 33, 291852197,
2018-03-13 00:24:02, 0.1, 1, 129655008, 954466304, 261342016, 220266496, 5020, 11162250000000, 0.01, 0.31, 364118016, 16725889024, 0.11, 8724148224, 3579342848, 12, 4, 200, 33, 291912196,
2018-03-13 00:25:02, 0.1, 1, 134639432, 954466304, 261342016, 217972736, 5020, 11165980000000, 0.02, 0.33, 367951872, 16725889024, 0.04, 8724148224, 3579342848, 12, 4, 200, 33, 291972205,
2018-03-13 00:26:02, 0.1, 1, 119631120, 954466304, 261342016, 215482368, 5020, 11169430000000, 0.01, 0.30, 336740352, 16725889024, 0.10, 8724148224, 3579342848, 12, 4, 200, 33, 292032211,
2018-03-13 00:27:02, 0.1, 1, 132087568, 954466304, 261342016, 213909504, 5020, 11173130000000, 0.02, 0.33, 406880256, 16725889024, 0.28, 8724148224, 3579342848, 12, 4, 200, 33, 292092204,
2018-03-13 00:28:02, 0.1, 1, 126100488, 954466304, 261342016, 212074496, 5020, 11176580000000, 0.01, 0.32, 397070336, 16725889024, 0.64, 8724148224, 3579342848, 12, 4, 200, 33, 292152222,
2018-03-13 00:29:02, 0.1, 1, 129801856, 954466304, 261342016, 210173952, 5020, 11180350000000, 0.02, 0.34, 351395840, 16725889024, 0.49, 8724148224, 3579342848, 12, 4, 200, 33, 292212220,
2018-03-13 00:30:02, 0.1, 1, 144025928, 954466304, 261342016, 210829312, 5020, 11183960000000, 0.02, 0.30, 340910080, 16725889024, 0.33, 8724148224, 3579342848, 12, 4, 200, 33, 292272223,
2018-03-13 00:31:02, 0.1, 1, 142680248, 954466304, 261342016, 210173952, 5020, 11187730000000, 0.02, 0.32, 346042368, 16725889024, 0.23, 8724148224, 3579342848, 12, 4, 200, 33, 292332205,
2018-03-13 00:32:02, 0.1, 1, 153350192, 954466304, 261342016, 209846272, 5020, 11191430000000, 0.02, 0.32, 344793088, 16725889024, 0.43, 8724148224, 3579342848, 12, 4, 200, 33, 292392230,
2018-03-13 00:33:02, 0.2, 1, 149952904, 954466304, 261342016, 209846272, 5020, 11195190000000, 0.02, 0.35, 334532608, 16725889024, 0.44, 8724148224, 3579342848, 12, 3, 200, 33, 292452205,
2018-03-13 00:34:02, 0.1, 1, 161540080, 954466304, 261342016, 208732160, 5020, 11198720000000, 0.01, 0.31, 317526016, 16725889024, 0.50, 8724148224, 3579342848, 12, 4, 200, 33, 292512198,
2018-03-13 00:35:02, 0.2, 1, 168946656, 954466304, 261342016, 219152384, 5020, 11202470000000, 0.02, 0.30, 293466112, 16725889024, 0.39, 8724148224, 3579342848, 12, 4, 200, 33, 292572210,
2018-03-13 00:36:02, 0.1, 1, 175760352, 954466304, 261342016, 217382912, 5020, 11206250000000, 0.02, 0.33, 347459584, 16725889024, 0.66, 8724148224, 3579342848, 12, 4, 200, 33, 292632204,
2018-03-13 00:37:02, 0.1, 1, 171871136, 954466304, 261342016, 215547904, 5020, 11209680000000, 0.01, 0.29, 329830400, 16725889024, 0.24, 8724148224, 3579342848, 12, 4, 200, 33, 292692201,
2018-03-13 00:38:02, 0.1, 1, 175449320, 954466304, 261342016, 213778432, 5020, 11213310000000, 0.02, 0.31, 314200064, 16725889024, 0.37, 8724148224, 3579342848, 12, 4, 200, 33, 292752210,
2018-03-13 00:39:02, 0.1, 1, 182862200, 954466304, 261342016, 211222528, 5020, 11217000000000, 0.02, 0.33, 330219520, 16725889024, 0.32, 8724148224, 3579342848, 12, 4, 200, 33, 292812210,
2018-03-13 00:40:02, 0.1, 1, 175115680, 954466304, 261342016, 210698240, 5020, 11220600000000, 0.02, 0.32, 320364544, 16725889024, 0.37, 8724148224, 3579342848, 12, 4, 200, 33, 292872197,
2018-03-13 00:41:02, 0.1, 1, 188388664, 954466304, 261342016, 210042880, 5020, 11224380000000, 0.02, 0.31, 332181504, 16725889024, 0.13, 8724148224, 3579342848, 12, 4, 200, 33, 292932206,
2018-03-13 00:42:02, 0.2, 1, 191895984, 954466304, 261342016, 209125376, 5020, 11228020000000, 0.02, 0.31, 339578880, 16725889024, 0.38, 8724148224, 3579342848, 12, 4, 200, 33, 292992215,
2018-03-13 00:43:02, 0.1, 1, 193627096, 954466304, 261342016, 215941120, 5020, 11231690000000, 0.02, 0.32, 320139264, 16725889024, 0.71, 8724148224, 3579342848, 12, 4, 200, 33, 293052204,
2018-03-13 00:44:02, 0.1, 1, 199990480, 954466304, 261342016, 213581824, 5020, 11235120000000, 0.01, 0.30, 322883584, 16725889024, 0.66, 8724148224, 3579342848, 12, 4, 200, 33, 293112206,
2018-03-13 00:45:02, 0.1, 1, 205329552, 954466304, 261342016, 211943424, 5020, 11238790000000, 0.02, 0.33, 342388736, 16725889024, 0.59, 8724148224, 3579342848, 12, 4, 200, 33, 293172197,
2018-03-13 00:46:02, 0.3, 1, 66332016, 954466304, 261342016, 189136896, 5014, 11242580000000, 0.02, 0.29, 371257344, 16725889024, 0.59, 8724148224, 3579342848, 12, 4, 200, 33, 293232204,
2018-03-13 00:47:02, 0.1, 1, 69356760, 954466304, 261342016, 189005824, 5014, 11246140000000, 0.02, 0.31, 385429504, 16725889024, 0.22, 8724148224, 3579342848, 12, 4, 200, 33, 293292221,
2018-03-13 00:48:02, 0.1, 1, 73819416, 954466304, 261342016, 187432960, 5014, 11249660000000, 0.01, 0.31, 353280000, 16725889024, 0.41, 8724148224, 3579342848, 12, 4, 200, 33, 293352215,
