Date/Time, GC-hostname:port, CPU-hostname:port, Used JVM Mem-hostname:port, Total JVM Mem-hostname:port, Init JVM Mem-hostname:port, Committed JVM Mem-hostname:port, Loaded Class Count-hostname:port, JVM Process CPU Time-hostname:port, JVM Process Cpu Load-hostname:port, System CPU Load-hostname:port, Free Physical Memory Size-hostname:port, Total Physical Memory Size-hostname:port, System Load Average-hostname:port, Total Swap Space Size-hostname:port, Committed Virtual Memory Size-hostname:port, Current Queue Size-hostname:port, Max Queue Size-hostname:port, Uptime-hostname:port,
2018-03-13 00:00:43, 0.0, 0, 479179368, 534904832, 134217728, 534904832, 6131, 6721940000000, 0.00, 0.00, 171704320, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290545013,
2018-03-13 00:01:43, 0.0, 0, 480313712, 534904832, 134217728, 534904832, 6131, 6722110000000, 0.00, 0.00, 171204608, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290605013,
2018-03-13 00:02:43, 0.0, 0, 481442056, 534904832, 134217728, 534904832, 6131, 6722320000000, 0.00, 0.00, 171728896, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290665055,
2018-03-13 00:03:43, 0.0, 0, 482664272, 534904832, 134217728, 534904832, 6131, 6722480000000, 0.00, 0.00, 171474944, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290725013,
2018-03-13 00:04:43, 0.0, 0, 483762696, 534904832, 134217728, 534904832, 6131, 6722680000000, 0.00, 0.00, 171601920, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290785013,
2018-03-13 00:05:43, 0.0, 0, 484949408, 534904832, 134217728, 534904832, 6131, 6722850000000, 0.00, 0.00, 171094016, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290845012,
2018-03-13 00:06:43, 0.0, 0, 486049920, 534904832, 134217728, 534904832, 6131, 6723040000000, 0.00, 0.00, 171077632, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290905026,
2018-03-13 00:07:43, 0.0, 0, 487230088, 534904832, 134217728, 534904832, 6131, 6723250000000, 0.00, 0.00, 171433984, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 290965013,
2018-03-13 00:08:43, 0.0, 0, 488395384, 534904832, 134217728, 534904832, 6131, 6723420000000, 0.00, 0.00, 170885120, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 291025014,
2018-03-13 00:09:43, 0.0, 0, 489575864, 534904832, 134217728, 534904832, 6131, 6723630000000, 0.00, 0.00, 170512384, 16725889024, 0.00, 8724148224, 3155378176, 0, 1, 291085013,
