Date/Time, GC-hostname:port, CPU-hostname:port, Used JVM Mem-hostname:port, Total JVM Mem-hostname:port, Init JVM Mem-hostname:port, Committed JVM Mem-hostname:port, Loaded Class Count-hostname:port, JVM Process CPU Time-hostname:port, JVM Process Cpu Load-hostname:port, System CPU Load-hostname:port, Free Physical Memory Size-hostname:port, Total Physical Memory Size-hostname:port, System Load Average-hostname:port, Total Swap Space Size-hostname:port, Committed Virtual Memory Size-hostname:port, Current Queue Size-hostname:port, Max Queue Size-hostname:port, Uptime-hostname:port,
2018-03-18 00:00:17, 0.0, 0, 277169984, 534249472, 134217728, 534249472, 6041, 4562120000000, 0.00, 0.00, 173682688, 16725889024, 0.10, 8724148224, 3079143424, 0, 1, 184220164,
2018-03-18 00:01:17, 0.0, 0, 278042320, 534249472, 134217728, 534249472, 6041, 4562270000000, 0.00, 0.00, 172032000, 16725889024, 0.04, 8724148224, 3079143424, 0, 1, 184280167,
2018-03-18 00:02:17, 0.0, 0, 279068160, 534249472, 134217728, 534249472, 6041, 4562440000000, 0.00, 0.00, 171651072, 16725889024, 0.01, 8724148224, 3079143424, 0, 1, 184340168,
2018-03-18 00:03:17, 0.0, 0, 279774072, 534249472, 134217728, 534249472, 6041, 4562630000000, 0.00, 0.00, 171397120, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 184400165,
2018-03-18 00:04:17, 0.0, 0, 280925008, 534249472, 134217728, 534249472, 6041, 4562800000000, 0.00, 0.00, 171540480, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 184460169,
2018-03-18 00:05:17, 0.0, 0, 281993904, 534249472, 134217728, 534249472, 6042, 4563030000000, 0.00, 0.00, 171651072, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 184520165,
2018-03-18 00:06:17, 0.0, 0, 283001680, 534249472, 134217728, 534249472, 6042, 4563180000000, 0.00, 0.00, 171778048, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 184580166,
2018-03-18 00:07:17, 0.0, 0, 284032792, 534249472, 134217728, 534249472, 6042, 4563370000000, 0.00, 0.00, 171524096, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 184640169,
2018-03-18 00:08:17, 0.0, 0, 285191344, 534249472, 134217728, 534249472, 6042, 4563570000000, 0.00, 0.00, 171524096, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 184700165,
2018-03-18 00:09:17, 0.0, 0, 286201096, 534249472, 134217728, 534249472, 6042, 4563790000000, 0.00, 0.00, 171507712, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 184760165,
2018-03-18 00:10:17, 0.0, 0, 287245896, 534249472, 134217728, 534249472, 6042, 4564000000000, 0.00, 0.00, 171016192, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 184820165,
2018-03-18 00:11:17, 0.0, 0, 288264688, 534249472, 134217728, 534249472, 6042, 4564250000000, 0.00, 0.00, 170889216, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 184880165,
2018-03-18 00:12:17, 0.0, 0, 288928280, 534249472, 134217728, 534249472, 6042, 4564450000000, 0.00, 0.00, 171016192, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 184940166,
2018-03-18 00:13:17, 0.0, 0, 289956304, 534249472, 134217728, 534249472, 6044, 4564610000000, 0.00, 0.00, 171016192, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 185000166,
2018-03-18 00:14:17, 0.0, 0, 290988848, 534249472, 134217728, 534249472, 6045, 4564800000000, 0.00, 0.00, 171016192, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 185060180,
2018-03-18 00:15:17, 0.0, 0, 292029704, 534249472, 134217728, 534249472, 6045, 4564960000000, 0.00, 0.00, 171143168, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 185120164,
2018-03-18 00:16:17, 0.0, 0, 293186416, 534249472, 134217728, 534249472, 6045, 4565120000000, 0.00, 0.00, 170889216, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 185180165,
2018-03-18 00:17:17, 0.0, 0, 294083328, 534249472, 134217728, 534249472, 6045, 4565300000000, 0.00, 0.00, 171016192, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 185240164,
2018-03-18 00:18:17, 0.0, 0, 295234944, 534249472, 134217728, 534249472, 6045, 4565470000000, 0.00, 0.00, 170889216, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 185300167,
2018-03-18 00:19:17, 0.0, 0, 296116592, 534249472, 134217728, 534249472, 6045, 4565650000000, 0.00, 0.00, 170889216, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 185360165,
2018-03-18 00:20:17, 0.0, 0, 296993080, 534249472, 134217728, 534249472, 6045, 4565840000000, 0.00, 0.00, 170254336, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 185420169,
2018-03-18 00:21:17, 0.0, 0, 297833720, 534249472, 134217728, 534249472, 6045, 4566020000000, 0.00, 0.00, 170254336, 16725889024, 0.05, 8724148224, 3079143424, 0, 1, 185480165,
2018-03-18 00:22:17, 0.0, 0, 299034192, 534249472, 134217728, 534249472, 6045, 4566190000000, 0.00, 0.00, 170254336, 16725889024, 0.02, 8724148224, 3079143424, 0, 1, 185540165,
2018-03-18 00:23:17, 0.0, 0, 300051488, 534249472, 134217728, 534249472, 6045, 4566360000000, 0.00, 0.00, 170381312, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 185600166,
2018-03-18 00:24:17, 0.0, 0, 301066200, 534249472, 134217728, 534249472, 6045, 4566590000000, 0.00, 0.00, 170381312, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 185660165,
2018-03-18 00:25:17, 0.0, 0, 302118656, 534249472, 134217728, 534249472, 6045, 4566840000000, 0.00, 0.00, 170254336, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 185720166,
2018-03-18 00:26:17, 0.0, 0, 303149800, 534249472, 134217728, 534249472, 6045, 4567010000000, 0.00, 0.00, 170000384, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 185780166,
2018-03-18 00:27:17, 0.0, 0, 304155784, 534249472, 134217728, 534249472, 6045, 4567230000000, 0.00, 0.00, 170127360, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 185840165,
2018-03-18 00:28:17, 0.0, 0, 304862752, 534249472, 134217728, 534249472, 6045, 4567400000000, 0.00, 0.00, 170127360, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 185900165,
2018-03-18 00:29:17, 0.0, 0, 305888896, 534249472, 134217728, 534249472, 6045, 4567590000000, 0.00, 0.00, 170127360, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 185960166,
2018-03-18 00:30:17, 0.0, 0, 306917176, 534249472, 134217728, 534249472, 6045, 4567770000000, 0.00, 0.00, 169873408, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 186020165,
2018-03-18 00:31:17, 0.0, 0, 307947840, 534249472, 134217728, 534249472, 6045, 4567960000000, 0.00, 0.00, 170508288, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 186080165,
2018-03-18 00:32:17, 0.0, 0, 308973568, 534249472, 134217728, 534249472, 6045, 4568150000000, 0.00, 0.00, 171032576, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 186140168,
2018-03-18 00:33:17, 0.0, 0, 309990528, 534249472, 134217728, 534249472, 6045, 4568350000000, 0.00, 0.00, 169476096, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 186200165,
2018-03-18 00:34:17, 0.0, 0, 311011248, 534249472, 134217728, 534249472, 6045, 4568520000000, 0.00, 0.00, 169222144, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 186260166,
2018-03-18 00:35:17, 0.0, 0, 312053944, 534249472, 134217728, 534249472, 6045, 4568710000000, 0.00, 0.00, 169222144, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 186320200,
2018-03-18 00:36:17, 0.0, 0, 312867280, 534249472, 134217728, 534249472, 6045, 4568930000000, 0.00, 0.00, 169095168, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 186380171,
2018-03-18 00:37:17, 0.0, 0, 313935272, 534249472, 134217728, 534249472, 6045, 4569120000000, 0.00, 0.00, 169205760, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 186440169,
2018-03-18 00:38:17, 0.0, 0, 314948416, 534249472, 134217728, 534249472, 6045, 4569320000000, 0.00, 0.00, 169062400, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 186500167,
2018-03-18 00:39:17, 0.0, 0, 315949000, 534249472, 134217728, 534249472, 6045, 4569510000000, 0.00, 0.00, 168984576, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 186560166,
2018-03-18 00:40:17, 0.0, 0, 317014656, 534249472, 134217728, 534249472, 6045, 4569730000000, 0.00, 0.00, 168730624, 16725889024, 0.00, 8724148224, 3079143424, 0, 1, 186620169,
