tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2018-0301,Auckland,Hard,32,A,20180108,288,111202,,,Hyeon Chung,R,,KOR,21.63997262,62,832,104545,4,,John Isner,R,206,USA,32.70362765,16,2265,7-6(3) 5-7 6-2,3,R16,144,15,1,98,67,53,17,16,0,1,30,4,117,86,55,17,16,4,6
2018-0301,Auckland,Hard,32,A,20180108,287,111575,,,Karen Khachanov,R,,RUS,21.63449692,48,1030,104655,6,,Pablo Cuevas,R,180,URU,32.01916496,33,1370,6-2 7-6(4),3,R16,71,10,2,57,37,28,13,10,1,2,3,0,61,34,24,11,10,1,4
2018-0301,Auckland,Hard,32,A,20180108,286,105223,2,,Juan Martin Del Potro,R,198,ARG,29.29226557,12,2595,133430,,,Denis Shapovalov,L,,CAN,18.73511294,50,981,6-2 6-4,3,R16,65,8,0,51,36,25,13,9,0,0,3,3,44,25,19,6,9,0,3
2018-0301,Auckland,Hard,32,A,20180108,284,105376,,,Peter Gojowczyk,R,185,GER,28.48459959,65,782,105065,,Q,Tim Smyczek,R,175,USA,30.02600958,135,429,6-3 4-6 6-3,3,R32,104,2,3,91,56,38,18,14,0,3,2,2,80,47,26,20,14,4,9
2018-0301,Auckland,Hard,32,A,20180108,283,104898,,,Robin Haase,R,190,NED,30.75975359,43,1130,134770,,Q,Casper Ruud,R,,NOR,19.04722793,137,416,0-6 7-6(6) 6-3,3,R32,100,16,1,89,55,41,17,14,3,6,12,3,80,56,46,12,13,1,2
2018-0301,Auckland,Hard,32,A,20180108,282,105041,,LL,Lukas Lacko,R,185,SVK,30.18206708,90,605,126774,,WC,Stefanos Tsitsipas,R,,GRE,19.40862423,80,655,6-3 6-7(5) 6-3,3,R32,108,12,3,100,59,50,18,16,2,3,12,1,82,52,40,14,14,0,3
2018-0301,Auckland,Hard,32,A,20180108,280,106210,,,Jiri Vesely,L,,CZE,24.49828884,64,815,105430,,Q,Radu Albot,R,,MDA,28.15879535,88,616,3-6 6-1 7-6(7),3,R32,147,4,3,89,57,43,17,14,1,3,6,3,110,78,50,18,14,12,15
2018-0301,Auckland,Hard,32,A,20180108,279,105449,,,Steve Johnson,R,188,USA,28.04106776,46,1055,132482,,LL,Liam Caruana,U,,USA,19.96167009,397,100,7-5 7-6(4),3,R32,104,12,1,78,43,34,22,12,4,5,7,1,78,40,31,20,12,2,4
2018-0301,Auckland,Hard,32,A,20180108,278,105138,5,,Roberto Bautista Agut,R,183,ESP,29.7357974,21,1855,105030,,WC,Michael Venus,R,,NZL,30.23134839,,,6-2 6-1,3,R32,56,3,1,51,37,29,7,8,5,6,3,3,42,18,11,4,7,2,7
2018-0301,Auckland,Hard,32,A,20180108,277,103970,7,,David Ferrer,R,175,ESP,35.77002053,38,1270,200059,,WC,Yibing Wu,R,,CHN,18.23682409,313,157,7-6(7) 6-4,3,R32,120,3,6,81,44,29,22,11,3,5,5,5,96,46,31,22,11,9,12
2018-0301,Auckland,Hard,32,A,20180108,276,105311,,,Joao Sousa,R,185,POR,28.77754962,59,850,105385,,,Donald Young,L,183,USA,28.46269678,63,816,6-7(8) 6-4 6-2,3,R32,122,9,0,86,49,45,21,15,1,2,8,3,96,55,36,25,15,10,14
2018-0301,Auckland,Hard,32,A,20180108,275,111202,,,Hyeon Chung,R,,KOR,21.63997262,62,832,105815,,LL,Tennys Sandgren,R,,USA,26.46680356,96,583,6-3 5-7 6-3,3,R32,131,2,3,96,65,46,14,15,9,12,7,0,95,52,35,18,15,7,12
2018-0301,Auckland,Hard,32,A,20180108,273,104655,6,,Pablo Cuevas,R,180,URU,32.01916496,33,1370,106121,,LL,Taro Daniel,R,,JPN,24.94729637,98,579,6-3 6-2,3,R32,76,5,3,63,31,25,16,9,5,6,2,4,55,35,22,6,8,4,8
